ID,initalWeight,experimentType,odor,concentration,trial,totalCorrect,totalAttempts,controlCorrect,controlAttempts,datetime
2139,15.5,100-0,pinene,1,1,7,23,0,3,11.12.2020 13:05:00
2140,16.0,100-0,pinene,1,1,37,76,4,9,11.13.2020 14:22:19
2140,16.2,90-10,pinene,1,1,51,83,0,0,11.20.2020 14:19:38
2141,NaN,100-0,pinene,1,1,29,59,6,6,11.5.2020 14:30:03
2141,16.4,90-10,pinene,1,1,81,145,0,0,11.25.2020 14:20:10
2148,18.1,100-0,pinene,1,1,14,35,4,4,2.1.2021 19:51:43
2150,19.2,100-0,vanillin,1,1,16,33,2,4,2.25.2021 19:18:20
2151,21.81,100-0,vanillin,1,1,20,33,1,3,2.25.2021 19:58:41
2152,16.6,100-0,pinene,1,1,15,34,3,3,2.11.2021 12:14:30
2152,18.9,90-10,2pe,0.01,1,74,132,0,0,3.29.2021 17:02:48
2152,19.6,90-10_interleaved,2pe-benz,0.01-0.1,1,59,109,0,0,4.26.2021 18:57:15
2153,22.13,100-0,2pe,0.01,1,32,64,4,8,4.6.2021 20:27:18
2153,22.1,90-10,2pe,0.01,1,82,99,0,0,4.16.2021 12:33:21
2154,20.85,100-0,benzaldehyde,0.1,1,32,74,2,9,4.2.2021 18:05:53
2155,22.31,100-0,2pe,0.01,1,18,44,0,4,4.12.2021 15:41:27
2139,15.3,100-0,pinene,1,2,18,34,2,4,11.13.2020 13:34:54
2140,16.5,100-0,pinene,1,2,41,84,5,10,11.16.2020 14:00:24
2140,16.6,90-10,pinene,1,2,83,139,0,0,11.23.2020 14:25:44
2141,16.0,100-0,pinene,1,2,31,62,7,7,11.9.2020 15:28:17
2141,17.3,90-10,pinene,1,2,82,140,0,0,11.30.2020 15:54:38
2148,17.2,100-0,pinene,1,2,29,59,3,5,2.2.2021 17:59:37
2150,18.1,100-0,vanillin,1,2,31,72,4,8,2.26.2021 16:16:32
2151,21.11,100-0,vanillin,1,2,9,18,2,3,2.26.2021 11:51:50
2152,18.04,100-0,vanillin,1,2,11,18,2,4,3.2.2021 10:33:56
2152,18.71,90-10,2pe,0.01,2,68,109,0,0,3.31.2021 11:59:48
2152,19.1,90-10_interleaved,2pe-benz,0.01,2,54,92,0,0,4.27.2021 17:33:42
2153,21.74,100-0,2pe,0.01,2,52,88,7,11,4.8.2021 17:49:21
2153,22.19,90-10,2pe,0.01,2,89,133,0,0,4.19.2021 18:22:40
2154,22.75,100-0,benzaldehyde,0.1,2,49,88,4,10,4.5.2021 17:21:31
2155,23.58,100-0,2pe,0.01,2,7,13,1,1,4.13.2021 20:00:56
2139,15.8,100-0,pinene,1,3,3,11,1,1,11.16.2020 13:08:35
2140,16.3,100-0,pinene,1,3,67,119,7,14,11.17.2020 13:48:19
2140,16.3,90-10,pinene,1,3,69,128,0,0,11.24.2020 12:07:57
2141,16.2,100-0,pinene,1,3,40,95,3,9,11.12.2020 15:03:59
2141,16.3,90-10,pinene,1,3,79,146,0,0,12.2.2020 16:08:28
2148,16.9,100-0,pinene,1,3,39,72,4,9,2.3.2021 18:15:11
2150,19.1,100-0,vanillin,1,3,36,63,7,8,3.3.2021 18:45:57
2151,25.0,100-0,vanillin,1,3,7,8,0,0,3.1.2021 12:44:03
2152,18.31,100-0,2pe,.01,3,33,37,2,4,3.2.2021 10:33:56
2152,18.56,90-10,2pe,0.01,3,88,119,0,0,4.1.2021 15:59:20
2152,18.65,90-10_interleaved,2pe-benz,0.01-0.1,3,96,138,0,0,4.28.2021 18:03:59
2153,21.47,100-0,2pe,0.01,3,51,96,6,12,4.9.2021 17:34:29
2153,22.65,90-10,2pe,0.01,3,72,116,0,0,4.20.2021 20:00:51
2154,21.64,100-0,benzaldehyde,0.1,3,40,83,3,10,4.6.2021 18:54:43
2155,17.17,100-0,2pe,0.01,3,10,13,1,2,4.15.2021 19:26:44
