ID,initalWeight,experimentType,trial,totalPokes,datetime
2154,16.94,trainer1,5,0,4.8.2021 19:26:32
2139,NaN,trainer1,1,3,11.2.2020 13:20:53
2140,NaN,trainer1,1,4,11.3.2020 15:51:24
2140,NaN,trainer1,2,4,11.3.2020 12:55:33
2153,21.77,trainer1,2,5,3.31.2021 13:20:23
2148,17.8,trainer1,1,6,1.25.2021 18:00:14
2152,16.9,trainer1,1,7,2.8.2021 11:47:45
2153,20.80,trainer1,3,7,4.1.2021 17:36:53
2141,NaN,trainer1,1,8,11.2.2020 15:07:38
2148,16.8,trainer1,2,8,1.26.2021 17:25:19
2139,NaN,trainer1,2,9,11.3.2020 12:18:10
2153,21.91,trainer1,1,9,3.29.2021 18:21:31
2155,18.09,trainer1,1,11,4.5.2021 18:42:47
2140,NaN,trainer1,3,13,11.4.2020 13:38:51
2155,17.44,trainer1,2,16,4.6.2021 21:00:28
2140,NaN,trainer1,4,17,11.5.2020 13:31:40
2154,21.69,trainer1,1,21,3.29.2021 18:57:36
2139,NaN,trainer1,3,25,11.4.2020 13:02:47
2139,NaN,trainer1,4,27,11.5.2020 12:55:04
2141,NaN,trainer1,2,27,11.3.2020 13:34:00
2155,16.94,trainer1,3,36,4.8.2021 19:56:58
2154,22.21,trainer1,2,39,3.31.2021 13:56:28
2140,15.8,trainer1,5,40,11.9.2020 14:42:14
2152,16.53,trainer1,2,43,2.9.2021 13:24:27
2150,16.2,trainer1,1,49,2.9.2021 18:50:49
2148,16.4,trainer1,3,50,1.27.2021 20:03:45
2153,20.49,trainer1,5,72,4.2.2021 11:45:03
2155,17.43,trainer1,5,76,4.21.2021 14:21:15
2155,16.92,trainer1,4,79,4.9.2021 19:38:23
2150,20.1,trainer1,6,82,2.24.2021 15:36:08
2141,NaN,trainer1,3,83,11.4.2020 14:14:50
2150,18.2,trainer1,2,84,2.10.2021 18:13:20
2139,15.4,trainer1,5,87,11.9.2020 14:03:25
2148,16.1,trainer1,4,94,1.28.2021 18:35:11
2150,17.2,trainer1,3,97,2.11.2021 17:45:14
2152,16.7,trainer1,3,105,2.10.2021 12:50:11
2140,16.1,trainer1,6,106,11.12.2020 13:41:13
2139,15.6,trainer1,6,108,11.17.2020 13:01:27
2148,16.4,trainer1,5,112,1.29.2021 16:03:50
2155,16.7,trainer1,8,114,4.23.2021 18:34:30
2155,21.1,trainer1,7,128,4.22.2021 19:42:15
2154,21.03,trainer1,3,133,4.1.2021 18:07:24
2154,23.35,trainer1,4,133,4.5.2021 18:01:04
2150,17.1,trainer1,4,141,2.12.2021 17:59:29
2150,17.5,trainer1,5,212,2.18.2021 15:20:49
